C(=O)(c1cc(ccc1)O)O	L6J BVQ FQ
Nc1cc(ccc1)[N+](=O)[O-]	L6J BZ FKW
C(=O)(c1cc(cc(c1)O)O)O	L6J BVQ DQ FQ
C(=O)(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O	L6J BVQ DKW FKW
C(=O)(c1ccc(c(c1)O)O)O	L6J BVQ DQ EQ
C(=O)c1cc(ccc1)[N+](=O)[O-]	L6J BV FKW
C(C)(CC)c1ccc(cc1)O	L6J BY2&1 EQ
N(c1ccc(cc1)N=O)(N=O)C	L6J BN1&NUO ENUO
Nc1ccc(cc1)C(C)C	L6J BZ EY1&1
C(=O)(c1ccc(cc1)O)O	L6J BVQ EQ
N(c1ccc(cc1)N)(C)C	L6J BN1&1 EZ
Nc1ccc(cc1)[N+](=O)[O-]	L6J BZ EKW
C(=O)c1ccccc1	L6J BV
N(c1ccccc1)C	L6J BM1
N(c1c(cccc1)Cl)c1nc(nc(n1)Cl)Cl	L6J AG BM- BL6N CN ENJ DG FG
C(c1cc(c(N)cc1)Cl)c1cc(c(N)cc1)Cl	L6J B1- BL6J EZ FG& EZ FG
N(c1cc(ccc1)C(F)(F)F)c1ccccc1	L6J BM- BL6J& FXFFF
N(c1ccccc1)c1ccc(cc1)N	L6J BM- BL6J EZ
Nc1ccc(cc1)Sc1ccc(cc1)[N+](=O)[O-]	L6J BZ ES- BL6J EKW
N(c1ccc(cc1)N=Nc1ccccc1)c1ccccc1	L6J BM- BL6J& ENUN- BL6J
Nc1ccc(cc1)Oc1ccc(cc1)Cl	L6J BZ EO- BL6J EG
O(c1ccc(N)cc1)c1ccc(N)cc1	L6J BO- BL6J EZ& EZ
Nc1c(ccc(c1)OC)OC	L6J AO1 BZ DO1
N(c1ccccc1)Cc1ccccc1	L6J BM1- BL6J
N(c1ccccc1)CC	L6J BM2
C(c1ccc(N)cc1)CCC	L6J B4 EZ
C(c1ccc(N)cc1)CCCCCCCCCCC	L6J B12 EZ
C(=O)c1ccc(cc1)Cl	L6J BV EG
O(c1ccc(N)cc1)C	L6J BO1 EZ
c1c(ccc(c1)N)SC	L6J AS1 DZ
c1c(ccc(c1)N)Br	L6J AE DZ
c1c(ccc(c1)N)Cl	L6J AG DZ
c1(cccc(c1)N)Cl	L6J BG DZ
C(=O)(c1ccccc1Cl)O	L6J BVQ CG
C(=O)(c1c(C=O)cccc1)O	L6J AV BVQ
Nc1c(ccc(c1)Cl)Oc1ccc(cc1)Cl	L6J AO- BL6J EG& BZ DG
c1cccc(c1)N(C)C	L6J DN1&1
C(=O)(c1cc(ccc1)[N+](=O)[O-])O	L6J BVQ FKW
c1ccc(c(c1)C(=O)O)OCC	L6J DVQ EO2
N(c1cc2c(cc1)cccc2)c1ccccc1	L66J CM- BL6J
c1c(ccc(c1)N(CC)CC)Cc1ccc(cc1)N(CC)CC	L6J A1- BL6J EN2&2& DN2&2
Nc1c(cc(c(c1)C)C)C	L6J A1 BZ D1 E1
C(=O)(c1c(ccc(c1)S(=O)(=O)N)N)O	L6J AZ BVQ DSWZ
Nc1ccc(cc1)Oc1ccccc1	L6J BZ EO- BL6J
S(c1ccc(N)cc1)c1ccc(N)cc1	L6J BS- BL6J EZ& EZ
Nc1c(cc(cc1Br)Br)Br	L6J AE BZ CE EE
C(=O)(c1ccccc1S)O	L6J BVQ CSH
C(=O)(c1ccc(cc1)N)O	L6J BVQ EZ
c1(ccccc1)NCCNc1ccccc1	L6J BM2M- BL6J
O(c1ccc(N)cc1)CC	L6J BO2 EZ
C(=O)(c1c(cccc1O)O)O	L6J AQ BVQ CQ
C(=O)(c1c(cccc1)[I]=O)O	L6J A-I-UO BVQ
C(=O)(c1c(cc(cc1)C(F)(F)F)Br)O	L6J AE BVQ EXFFF
C(=O)(c1ccc(cc1)OC(F)(F)F)O	L6J BVQ EOXFFF
Nc1c(cccc1)SC(F)(F)F	L6J ASXFFF BZ
Nc1c(cccc1)F	L6J AF BZ
Nc1c(ccc(c1)C(F)(F)F)Oc1ccc(cc1)Cl	L6J AO- BL6J EG& BZ DXFFF
Nc1c(cc(cc1F)F)F	L6J AF BZ CF EF
Oc1c(cccc1)F	L6J AF BQ
Nc1c(cc(cc1)F)F	L6J AF BZ EF
Oc1c(cc(cc1)F)F	L6J AF BQ EF
Nc1c(ccc(c1)F)F	L6J AF BZ DF
Nc1c(cc(c(c1)F)F)F	L6J AF BZ DF EF
Nc1cc(ccc1)SC(F)(F)F	L6J BZ FSXFFF
