Z1YQ1	CC(CN)O
3VO1R	CCCC(=O)OCC1=CC=CC=C1
1Y1&1VO1R	CC(C)CC(=O)OCC1=CC=CC=C1
1VO2R	CC(=O)OCCC1=CC=CC=C1
R1O1R	C1=CC=C(C=C1)COCC2=CC=CC=C2
1Y1&VO3R	CC(C)C(=O)OCCCC1=CC=CC=C1
3R	CCCC1=CC=CC=C1
2MR	CCNC1=CC=CC=C1
VHMR	C1=CC=C(C=C1)NC=O
OCNR	C1=CC=C(C=C1)N=C=O
SCNR	C1=CC=C(C=C1)N=C=S
2OR	CCOC1=CC=CC=C1
T6O BUTJ FO2	CCOC1CCC=CO1
T6M DNTJ D2Q	C1CN(CCN1)CCO
1N1 & 1R	CN(C)CC1=CC=CC=C1
ER DMV1	CC(=O)NC1=CC=C(C=C1)Br
1VMR D1	CC1=CC=C(C=C1)NC(=O)C
QV1R DO1	COC1=CC=C(C=C1)CC(=O)O
WNR DMV1	CC(=O)NC1=CC=C(C=C1)[N+](=O)[O-]
OCNR DG	C1=CC(=CC=C1N=C=O)Cl
Q1YQ1OR DG	C1=CC(=CC=C1OCC(CO)O)Cl
3R DO1	CCCC1=CC=C(C=C1)OC
T5OVTJ E4	CCCCC1CCC(=O)O1
4R	CCCCC1=CC=CC=C1
VH1UU1R	C1=CC=C(C=C1)CCC=O
VH2R	C1=CC=C(C=C1)CCC=O
VHO1R	C1=CC=C(C=C1)COC=O
VHO2R	C1=CC=C(C=C1)CCOC=O
T5OVTJ E7	CCCCCCCC1CCC(=O)O1
Q2O2OR	C1=CC=C(C=C1)OCCOCCO
Q1Y4 & 2	CCCCC(CC)CO
NCR D1	CC1=CC=C(C=C1)C#N
T6MTJ B1 E2	CCC1CCC(NC1)C
T6NJ B1 E2	CCC1=CN=C(C=C1)C
QR DNO	C1=CC(=CC=C1N=O)O
L6V DYJ DUNQ	C1=CC(=CC=C1N=O)O
1OR D1	CC1=CC=C(C=C1)OC
ZR DO1	COC1=CC=C(C=C1)N
L6TJ A1Q D1Q	C1CC(CCC1CO)CO
ZR DN1&1 &GH	CN(C)C1=CC=C(C=C1)N.Cl
L6Y DYJ AUNQ DUNQ	C1=CC(=CC=C1NO)N=O
Q1R DO1	COC1=CC=C(C=C1)CO
2N2 & 3V1	CCN(CC)CCCC(=O)C
2N2&2UU2N2&2	CCN(CC)CC#CCN(CC)CC
T5M CN BUTJ B17	CCCCCCCCCCCCCCCCCC1=NCCN1
Q1Y3&1	CCCC(C)CO
NC1VO1	COC(=O)CC#N
E1VO2	CCOC(=O)CBr
2VO2	CCC(=O)OCC
2VO1U1	CCC(=O)OC=C
2OVM1	CCOC(=O)NC
ZY & 1Y2	CCC(C)CC(C)N
2Y1 & OV1	CCC(C)OC(=O)C
2OV1VO2	CCOC(=O)CC(=O)OCC
3VO2	CCCC(=O)OCC
NC1VO2	CCOC(=O)CC#N
2OY1 & O2	CCOC(C)OCC
2OVO2	CCOC(=O)OCC
Q2N1 & 2Q	CN(CCO)CCO
T7MVTJ	C1CCC(=O)NCC1
QR B1 D1	CC1=CC(=C(C=C1)O)C
11VOOV11	CCCCCCCCCCCC(=O)OOC(=O)CCCCCCCCCCC
Z3N1 & 3Z	CN(CCCN)CCCN
VHO2Y1&3UY1&1	CC(CCC=C(C)C)CCOC=O
4OV4VO4	CCCCOC(=O)CCCCC(=O)OCCCC
Q2OV15	CCCCCCCCCCCCCCCCCC(=O)OCCOCCO
QV10YQ6	CCCCCCC(CCCCCCCCCCC(=O)O)O
4Y2 & 1M1Y4 & 2	CCCCC(CC)CNCC(CC)CCCC
Q2Y1 & 3Y1 & 1	CC(C)CCCC(C)CCO
7VO2	CCCCCCCC(=O)OCC
L6V DVJ & QR DQ	C1=CC(=O)C=CC1=O.C1=CC(=CC=C1O)O
4V2	CCCCC(=O)CC
3OV2	CCCOC(=O)CC
1R D1	CC1=CC=C(C=C1)C
GR D1	CC1=CC=C(C=C1)Cl
SHR D1	CC1=CC=C(C=C1)S
ZR DG	C1=CC(=CC=C1N)Cl
ZR D1	CC1=CC=C(C=C1)N
ZR DZ	C1=CC(=CC=C1N)N
SHR DG	C1=CC(=CC=C1S)Cl
1Y1 & 1OV1U1	CC(C)COC(=O)C=C
2Y1&1V2	CCC(C)CC(=O)CC
Q4YQ & 1Q	C(CCO)CC(CO)O
NC20V1U1	C=CC(=O)OCCC#N
2O2OV1U1	CCOCCOC(=O)C=C
T3OTJ B8 C7VO4	CCCCCCCCC1C(O1)CCCCCCCC(=O)OCCCC
T36 BOTJ E1U1	C=CC1CCC2C(C1)O2
T36 BOTJ A- BT3OTJ	C1CC2C(O2)CC1C3CO3
T3OTJ B2	CCC1CO1
T3OTJ B1G	C1C(O1)CCl
T3OTJ B1OV1U1	C=CC(=O)OCC1CO1
T3OTJ B1OVY1 & U1	CC(=C)C(=O)OCC1CO1
T3OTJ B1O2U1	C=CCOCC1CO1
E2U1	C=CCBr
E2UU1	C#CCBr
VH1U1	C=CC=O
G2E	C(CBr)Cl
G2U1	C=CCCl
Z3	CCCN
Z2U1	C=CCN
NC2	CCC#N
NC1U1	C=CC#N
NC1G	C(C#N)Cl
Q1CN	C(C#N)O
Q2U1	C=CCO
Q2UU1	C#CCO
G-HG-2	CC[Hg]Cl
G1O1	COCCl
WSQ2Q	C(CS(=O)(=O)O)O
G-SI-GG2U1	C=CC[Si](Cl)(Cl)Cl
QY1 & 1XQ1 & 1	CC(CC(C)(C)O)O
2OPO&O2&OPO&O2&O2 -DRY MIX	CCOP(=O)(OCC)OP(=O)(OCC)OCC
2OPO&O2&OPO&O2&O2 -LIQUID MIX	CCOP(=O)(OCC)OP(=O)(OCC)OCC
2OPO & O2 & OPO & O2 & O2	CCOP(=O)(OCC)OP(=O)(OCC)OCC
T6O DSWTJ	C1CS(=O)(=O)CCO1
1OX1 & 1 & 1V1	CC(=O)CC(C)(C)OC
VH1Y1&3XQ1&1	CC(CCCC(C)(C)O)CC=O
EY3 & 1	CCCC(C)Br
3Y1 & 1	CCCC(C)C
3V1	CCCC(=O)C
QY1 & 2Q	CC(CCO)O
VH1YQ1	CC(CC=O)O
ZV1CN	C(C#N)C(=O)N
QV2G	C(CCl)C(=O)O
QY1 & 1O1	CC(COC)O
Q2N1 & 1	CN(C)CCO
WN3	CCC[N+](=O)[O-]
1VO1U1	CC(=O)OC=C
ZY1&1Y1&1	CC(C)CC(C)N
1Y1 & 1V1	CC(C)CC(=O)C
QY1 & 1Y1 & 1	CC(C)CC(C)O
ZV1VZ	C(C(=O)N)C(=O)N
1Y1&MY1&1	CC(C)NC(C)C
1YOV1	CC(C)OC(=O)C
1VOY1 & U1	CC(=C)OC(=O)C
T5VOVTJ	C1CC(=O)OC1=O
T5OVOTJ D	CC1COC(=O)O1
1R C1	CC1=CC(=CC=C1)C
ZR CG	C1=CC(=CC(=C1)Cl)N
QR CG	C1=CC(=CC(=C1)Cl)O
ZR C1	CC1=CC(=CC=C1)N
ZR CZ	C1=CC(=CC(=C1)N)N
T6VOVTJ	C1CC(=O)OC(=O)C1
G1Y1 & OY1 & 1G	CC(CCl)OC(C)CCl
2OV1Y1 & 1	CCOC(=O)CC(C)C
1R C1 E1	CC1=CC(=CC(=C1)C)C
QR C1 E1	CC1=CC(=CC(=C1)O)C
ZR C1 E1	CC1=CC(=CC(=C1)N)C
T6N CN ENJ BG DG FG	C1(=NC(=NC(=N1)Cl)Cl)Cl
T6N CN ENJ BZ DZ FZ	C1(=NC(=NC(=N1)N)N)N
T6N CN ENJ BQ DQ FQ	C1(=O)NC(=O)NC(=O)N1
1Y1 & 1YQ1Y1 & 1	CC(C)CC(CC(C)C)O
1Y1 & 1V1Y1 & 1	CC(C)CC(=O)CC(C)C
1Y1 & 1Y1 & OV1	CC(C)CC(C)OC(=O)C
ER	C1=CC=C(C=C1)Br
L6TJ A1	CC1CCCCC1
T6NJ D1	CC1=CC=NC=C1
GR	C1=CC=C(C=C1)Cl
L6TJ AQ	C1CCC(CC1)O
L6VTJ	C1CCC(=O)CC1
SHR	C1=CC=C(C=C1)S
T6N DOTJ A1	CN1CCOCC1
T6NJ BE	C1=CC=NC(=C1)Br
T6MTJ B1	CC1CCCCN1
T6NJ B1	CC1=CC=CC=N1
T6N DNJ B1	CC1=NC=CN=C1
T6NJ BG	C1=CC=NC(=C1)Cl
4OV1Y1 & 1	CCCCOC(=O)CC(C)C
4OV3	CCCCOC(=O)CCC
QV4	CCCCC(=O)O
1Y1O1U1	CC(C)COC=C
Z3N1&1	CN(C)CCCN
Q2OY1 & 1	CC(C)OCCO
3OV1	CCCOC(=O)C
E3E	C(CBr)CBr
5H	CCCCC
G4	CCCCCl
Z4	CCCCN
NC3	CCCC#N
NC2U1	C=CCC#N
NC1CN	C(C#N)C#N
Q2CN	C(CO)C#N
NC1NU1	C=NCC#N
Q2M1	CNCCO
ZM2Q	C(CO)NN
Q2O1	COCCO
OCN2	CCN=C=O
2O1U1	CCOC=C
VHO2	CCOC=O
T5MJ	C1=CNC=C1
T5OTJ	C1CCOC1
T5SJ	C1=CSC=C1
1X1 & 1 & OOX1 & 1 & 1	CC(C)(C)OOC(C)(C)C
1V2V1	CC(=O)CCC(=O)C
1Y1 & 1OV1	CC(C)COC(=O)C
1VOOV1	CC(=O)OOC(=O)C
13VOY1&1	CCCCCCCCCCCCCC(=O)OC(C)C
9VO2	CCCCCCCCCC(=O)OCC
2OV8VO2	CCOC(=O)CCCCCCCCC(=O)OCC
5V1	CCCCCC(=O)C
VHO2Y1 & 1	CC(C)CCOC=O
ONO2Y	CC(C)CCON=O
E4E	C(CCBr)CBr
6H	CCCCCC
NC2CN	C(CC#N)C#N
VH4	CCCCC=O
Q4Q	C(CCO)CO
Q2UU2Q	C(C#CCO)O
G2O1U1	C=COCCCl
Q2S2	CCSCCO
Q2O2	CCOCCO
2SS2	CCSSCC
L6TJ	C1CCCCC1
L6UTJ	C1CCC=CC1
T6O BUTJ	C1CC=COC1
T6O CO EOTJ	C1OCOCO1
T6M DOTJ	C1COCCN1
QY1 & 1M1YQ1	CC(CNCC(C)O)O
QY1 & 1O1YQ1	CC(COCC(C)O)O
QV6	CCCCCCC(=O)O
2O2OV1	CCOCCOC(=O)C
QV2S2VQ	C(CSCCC(=O)O)C(=O)O
1VO2O 22	CC(=O)OCCOCCOCCOC(=O)C
Z6	CCCCCCN
Q6	CCCCCCO
Q5Q	C(CCO)CCO
Q4O1	COCCCCO
4O1U1	CCCCOC=C
Q3O2	CCOCCCO
Z2M2Z	C(CNCCN)N
Z2M2Q	C(CNCCO)N
Q2M2Q	C(CO)NCCO
G2O2G	C(CCl)OCCCl
Q2O2U1	C=CCOCCO
Q2O2Q	C(COCCO)O
T7MTJ	C1CCCNCC1
1VO2OV1	CC(=O)OCCOC(=O)C
NC4CN	C(CCC#N)CC#N
Q7	CCCCCCCO
VH6	CCCCCCC=O
Q4O2	CCOCCCCO
Q2M4	CCCCNCCO
Q2O4	CCCCOCCO
Q2O2O1	COCCOCCO
7UU1VO1	CCCCCCC#CC(=O)OC
E8	CCCCCCCCBr
Z8	CCCCCCCCN
Q2O2O2	CCOCCOCCO
G2O1O2G	C(CCl)OCOCCCl
NC2M2CN	C(CNCCC#N)C#N
NC2S2CN	C(CSCCC#N)C#N
G-SI-GG18	CCCCCCCCCCCCCCCCCC[Si](Cl)(Cl)Cl
QV8	CCCCCCCCC(=O)O
7OV1	CCCCCCCOC(=O)C
9V1	CCCCCCCCCC(=O)C
8OV1	CCCCCCCCOC(=O)C
2O2O2OV1	CCOCCOCCOC(=O)C
12N1 & 1	CCCCCCCCCCCCN(C)C
Q2O2O2Q	C(COCCOCCO)O
Q10	CCCCCCCCCCO
VH9	CCCCCCCCCC=O
Q2O2O4	CCCCOCCOCCO
Q2O2O2O1	COCCOCCOCCO
QV10	CCCCCCCCCCC(=O)O
12H	CCCCCCCCCCCC
Q10U1	C=CCCCCCCCCCO
VH10	CCCCCCCCCCC=O
VH9U1	C=CCCCCCCCCC=O
Q12	CCCCCCCCCCCCO
VH11	CCCCCCCCCCCC=O
12S-SB-S12&S12	CCCCCCCCCCCCS
NCS2O2O4	CCCCOCCOCCSC#N
Z2M2M2M2Z	C(CNCCNCCNCCN)N
6O6	CCCCCCOCCCCCC
Q2O2O6	CCCCCCOCCOCCO
Q2O2O2O2Q	C(COCCOCCOCCO)O
17VO1	CCCCCCCCCCCCCCCCCC(=O)OC
12OV1	CCCCCCCCCCCCOC(=O)C
Q13	CCCCCCCCCCCCCO
Q14	CCCCCCCCCCCCCCO
Q18	CCCCCCCCCCCCCCCCCCO
T C555 A DVNV IUTJ E1Y4 & 2	CCCCC(CC)CN1C(=O)C2C3CC(C2C1=O)C=C3
T C676 BN & T & J B3N1 & 1 & GH	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl
L6V DHJ BV3 CQ D1 D1 EQ F1R BQ DQ FQ C1 EV3	CCCC(=O)C1=C(C(=C(C(=C1O)CC2=C(C(C(=O)C(=C2O)C(=O)CCC)(C)C)O)O)C)O
1VMMR	CC(=O)NNC1=CC=CC=C1
ZVOX1UU1&1&1	CC(C)(C#C)O
Q1XGGG	C(C(Cl)(Cl)Cl)O
WS2 & X1 & 1 & SW2	CCS(=O)(=O)C(C)(C)S(=O)(=O)CC
L55 A CUTJ AG AG BG CG DG EG FVQ GVQ	C1(C(C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)C(=O)O)C(=O)O
Q1X2 & 2 & 1Q	CCC(CC)(CO)CO
Q1X1Q1Q1Q	C(C(CO)(CO)CO)O
ROPO & OR & OR	C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3
ZSWR DOPS & O1 & O1	COP(=S)(OC)OC1=CC=C(C=C1)S(=O)(=O)N
1Y&U3Y1U1OV1	CC(=CCCC(C)(C=C)OC(=O)C)C
G2OPO & O2GO2G	C(CCl)OP(=O)(OCCCl)OCCCl
G2OPO & O2G1U1	C=CP(=O)(OCCCl)OCCCl
L6TJ A1 A1 CQ E1	CC1CC(CC(C1)(C)C)O
Q1V1	CC(=O)CO
GXGGVXGGG	C(=O)(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl
1Y1 & OPOY1 & 1 & OY1 & 1	CC(C)OP(OC(C)C)OC(C)C
GXGGYQMVMYQXGGG	C(C(Cl)(Cl)Cl)(NC(=O)NC(C(Cl)(Cl)Cl)O)O
GYGVO1	COC(=O)C(Cl)Cl
L6 G666 R6 B6 V6 E&6 U6 4ABVW K& MV K&VJ	C1=CC=C2C(=C1)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C9=CC=CC=C9C8=O)C2=O
L C666 BV IVJ DZ EE GQ	C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3O)Br)N
L C666 BV IVJ DZ GQ	C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)O)N
L C666 BV IVJ DMVR& KG	C1=CC=C(C=C1)C(=O)NC2=CC=CC3=C2C(=O)C4=C(C3=O)C(=CC=C4)Cl
L C666 BV IVJ DZ KG	C1=CC2=C(C(=C1)N)C(=O)C3=C(C2=O)C(=CC=C3)Cl
L C666 BV IVJ DQ KQ	C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C(=CC=C3)O
WNR BG CG EG FG	C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)Cl
WSQR CZ F- 2	C1=CC(=C(C=C1N)S(=O)(=O)O)C2=C(C=C(C=C2)N)S(=O)(=O)O
L66J BSWQ CZ GSWQ	C1=CC2=C(C=CC(=C2S(=O)(=O)O)N)C(=C1)S(=O)(=O)O
L C666 BV IVJ EZ	C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)N
L66 BV EVJ CG DG	C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)Cl
8OVR BVO8	CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC
4Y2 & 1OVR BVO1Y4 & 2	CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC
1O2OVR BVO2O1	COCCOC(=O)C1=CC=CC=C1C(=O)OCCOC
4O2OVR BVO2O4	CCCCOCCOC(=O)C1=CC=CC=C1C(=O)OCCOCCCC
T56 BNY DHJ B1 CU1 D1 D1	CC1(C(=C)N(C2=CC=CC=C21)C)C
L66J BSWQ DSWQ HZ &-NA-	C1=CC2=C(C=C(C=C2C=C1N)S(=O)(=O)O)S(=O)(=O)O
T5NVNV EHJ AG CG E1 E1	CC1(C(=O)N(C(=O)N1Cl)Cl)C
QR BVOR	C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O
QR BVO1R	C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O
QR BVO1Y4 & 2	CCCCC(CC)COC(=O)C1=CC=CC=C1O
QR BVO2	CCOC(=O)C1=CC=CC=C1O
T56 BMJ D1YZ2 &QV1	CCC(CC1=CNC2=CC=CC=C21)N.CC(=O)O
T56 BMJ D1YZ2 & OV1	CCC(CC1=CNC2=CC=CC=C21)N.CC(=O)O
T56 BMJ D1YZ2	CCC(CC1=CNC2=CC=CC=C21)N
T6O DVJ B1 CQ	CC1=C(C(=O)C=CO1)O
GR BG CG DG EG FG	C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl
L6V DVJ BG CG EG FG	C1(=C(C(=O)C(=C(C1=O)Cl)Cl)Cl)Cl
QVR B1	CC1=CC=CC=C1C(=O)O
QVR BG	C1=CC=C(C(=C1)C(=O)O)Cl
QR BV1	CC(=O)C1=CC=CC=C1O
WNR B1 CNW ENW	CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
WNR CG DO1 FO1	COC1=CC(=C(C=C1[N+](=O)[O-])Cl)OC
WNR BO1 ENW	COC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]
QVR BQ EI	C1=CC(=C(C=C1I)C(=O)O)O
ZR D1 CNW	CC1=C(C=C(C=C1)N)[N+](=O)[O-]
WNR BQ E1	CC1=CC(=C(C=C1)O)[N+](=O)[O-]
T5NNJ AY1 & 1 C1 EOVN1 & 1	CC1=NN(C(=C1)OC(=O)N(C)C)C(C)C
T66 BVMNJ	C1=CC=C2C(=C1)C=NNC2=O
1X1 & 1 & R BQ C3R BQ CX1 & 1 & 1	CC1=CC(=C(C(=C1)C(C)(C)C)O)CC2=C(C(=CC(=C2)C)C(C)(C)C)O
QYR&VR	C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O
L66 & TJ	C1CCC2=CC=CC=C2C1
T66 CNJ	C1=CC=C2C=NC=CC2=C1
L66J BZ HSWQ	C1=CC2=C(C=CC(=C2)S(=O)(=O)O)C(=C1)N
1OR BZ ER DZ CO1	COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N
Q2NR & 2Q	C1=CC=C(C=C1)N(CCO)CCO
L C666J	C1=CC=C2C=C3C=CC=CC3=CC2=C1
VHR CO1 DO1	COC1=C(C=C(C=C1)C=O)OC
Z2R CO1 DO1	COC1=C(C=C(C=C1)CCN)OC
QR DG B1R	C1=CC=C(C=C1)CC2=C(C=CC(=C2)Cl)O
1OR BZ DVMR	COC1=C(C=C(C=C1)C(=O)NC2=CC=CC=C2)N
QVY1 & OR BG DG	CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl
QR DVO2	CCOC(=O)C1=CC=C(C=C1)O
ZR DVS2N2 & 2	CCN(CC)CCSC(=O)C1=CC=C(C=C1)N
T56 BO DO CHJ GVH	C1OC2=C(O1)C=C(C=C2)C=O
1OVR DVO1	COC(=O)C1=CC=C(C=C1)C(=O)OC
T56 BO DO CHJ G1Y1 & SO & 8	CCCCCCCCS(=O)C(C)CC1=CC2=C(C=C1)OCO2
1VMR B1	CC1=CC=CC=C1NC(=O)C
Q2OR BG DG	C1=CC(=C(C=C1Cl)Cl)OCCO
ZR C1 FO1	CC1=CC(=C(C=C1)OC)N
T56 BN DSJ C1	CC1=NC2=CC=CC=C2S1
T56 BN DSJ CSS-CT56 BN DSJ	C1=CC=C2C(=C1)N=C(S2)SSC3=NC4=CC=CC=C4S3
QR BG DG	C1=CC(=C(C=C1Cl)Cl)O
L5VTJ	C1CCC(=O)C1
T5MVMTJ	C1CNC(=O)N1
WSGR B1 ENW	CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)Cl
WSQR B1 ENW	CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)O
1Y1 & M2MY1 & 1	CC(C)N(CCN)C(C)C
WNR B1 ENW	CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]
VHR DQ CO2	CCOC1=C(C=CC(=C1)C=O)O
QVR DQ CO1	COC1=C(C=CC(=C1)C(=O)O)O
1OBO1 & O1	B(OC)(OC)OC
1OPO1 & O1	COP(OC)OC
ZR CSWQ	C1=CC(=CC(=C1)S(=O)(=O)O)N
ZR BG EXFFF	C1=CC(=C(C=C1C(F)(F)F)N)Cl
1X1 & 1 & 1X1 & 1 & R DO2O2K1 & 1 & 1R & Q & G	CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-]
ZVMR D-AS-QQO	C1=CC(=CC=C1NC(=O)N)[As](=O)(O)O
T5N CSJ BZ DNW	C1=C(SC(=N1)N)[N+](=O)[O-]
WNR CG	C1=CC(=CC(=C1)Cl)[N+](=O)[O-]
T6N CN ENTJ ANW CNW ENW	C1N(CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
WNR CG D1	CC1=C(C=C(C=C1)[N+](=O)[O-])Cl
ZR BG DNW	C1=CC(=C(C=C1[N+](=O)[O-])Cl)N
WNR CV1	CC(=O)C1=CC(=CC=C1)[N+](=O)[O-]
WNR CVG	C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)Cl
QVR CVQ	C1=CC(=CC(=C1)C(=O)O)C(=O)O
WNR CVQ	C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)O
1OVR DO1	COC1=CC=C(C=C1)C(=O)OC
1VR D1	CC1=CC=C(C=C1)C(=O)C
1K1&1&1R &O1	C[N+](C)(C)CC1=CC=CC=C1.C[O-]
L C666 BV IVJ DNW KG	C1=CC2=C(C(=C1)[N+](=O)[O-])C(=O)C3=C(C2=O)C(=CC=C3)Cl
L C666 BV IVJ DZ NZ	C1=CC2=C(C(=C1)N)C(=O)C3=C(C2=O)C=CC=C3N
L C666 BV IVJ DQ	C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)O
L C666 BV IVJ DZ KZ	C1=CC2=C(C(=C1)N)C(=O)C3=C(C2=O)C(=CC=C3)N
T C6665 1A P IV OMNJ	C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O
T6NTJ A2 COVYR & R & GH	CCN1CCCC(C1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3.Cl
L B656 HVJ CNW ENW KNW	C1=CC2=C(C=C1[N+](=O)[O-])C(=O)C3=C2C(=CC(=C3)[N+](=O)[O-])[N+](=O)[O-]
L66 BV EVJ	C1=CC=C2C(=O)C=CC(=O)C2=C1
L6TJ AR BQ CNW ENW	C1CCC(CC1)C2=C(C(=CC(=C2)[N+](=O)[O-])[N+](=O)[O-])O
T66 BNJ HO1 EYQ-DT66 A B CNTJ A1U1	COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O
L C666 BV IVJ ESWQ &-NA-	C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)S(=O)(=O)O.[Na+]
1OVR BVO1	COC(=O)C1=CC=CC=C1C(=O)OC
L C666 BV IVJ EZ LZ	C1=CC2=C(C=C1N)C(=O)C3=C(C2=O)C=C(C=C3)N
6Y1 & OVR BVOY6 & 1	CCCCCCC(C)OC(=O)C1=CC=CC=C1C(=O)OC(C)CCCCCC
1U2OVR BVO2U1	C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C
L66J BSWQ DZ GSWQ	C1=CC2=C(C=C(C=C2S(=O)(=O)O)N)C(=C1)S(=O)(=O)O
QR CQ DVR	C1=CC=C(C=C1)C(=O)C2=C(C=C(C=C2)O)O
WNR CNW ENW BMR BNW DNW FNW	C1=C(C=C(C(=C1[N+](=O)[O-])NC2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
L66J BNUNR B & CZ	CC1=CC=CC=C1N=NC2=C(C=CC3=CC=CC=C32)N
L66J BNO CQ	C1=CC=C2C(=C1)C=CC(=C2N=O)O
T56 A ANTJ A1 GOYR & R & OSW1	CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4.CS(=O)(=O)O
T B656 HNJ DZ H2	CCN1C2=C(C=C(C=C2)N)C3=CC=CC=C31
L66J BQ CNO	C1=CC=C2C(=C1)C=CC(=C2O)N=O
T66 BNJ CR & EVQ	C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)O
L66J BMVR BVQ	C1=CC=C2C(=C1)C=CC=C2NC(=O)C3=CC=CC=C3C(=O)O
L66J B1CN	C1=CC=C2C(=C1)C=CC=C2CC#N
L66J BQ DQ	C1=CC=C2C(=C1)C=C(C=C2O)O
T66 BVM EO DHJ D2G	C1=CC=C2C(=C1)C(=O)NC(O2)CCCl
T56 BVNV GUTJ CSXGGG	C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl
ZR BVO2R	C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2N
T56 BMJ D3VQ	C1=CC=C2C(=C1)C(=CN2)CCCC(=O)O
SHR BG CG DG EG FG	C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)S
QVR BQ CI EI	C1=C(C=C(C(=C1C(=O)O)O)I)I
ZR BVO1	COC(=O)C1=CC=CC=C1N
T C666 BNJ IZ & GH	C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)N.Cl
T56 BNNM FVM INJ HZ	C12=NNN=C1N=C(NC2=O)N
RVVR	C1=CC=C(C=C1)C(=O)C(=O)C2=CC=CC=C2
1R DVR	CC1=CC=C(C=C1)C(=O)C2=CC=CC=C2
1VMR B1 C1	CC1=C(C(=CC=C1)NC(=O)C)C
WNR CG FOR DG	C1=CC(=CC=C1OC2=C(C=C(C=C2)Cl)[N+](=O)[O-])Cl
QV1SR BVQ	C1=CC=C(C(=C1)C(=O)O)SCC(=O)O
L66J CQ	C1=CC=C2C=C(C=CC2=C1)O
QNR & NO & ZH	C1=CC=C(C=C1)[N+](=NO)[O-].N
L66J CMR	C1=CC=C(C=C1)NC2=CC3=CC=CC=C3C=C2
2Y1 & R	CCC(C)C1=CC=CC=C1
RNUNMR	C1=CC=C(C=C1)NN=NC2=CC=CC=C2
QR COVR	C1=CC=C(C=C1)C(=O)OC2=CC=CC(=C2)O
T6NJ BZ CNUNR & FZ & GH	C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl
T6NJ BVO3 EVO3	CCCOC(=O)C1=CN=C(C=C1)C(=O)OCCC
QVY4 & 2	CCCCC(CC)C(=O)O
4OVR	CCCCOC(=O)C1=CC=CC=C1
T56 BO DO CHJ G1Y1 & M1YQR CQ DQ & GH	CC(CC1=CC2=C(C=C1)OCO2)NCC(C3=CC(=C(C=C3)O)O)O.Cl
Q2MR B1	CC1=CC=CC=C1NCCO
T56 BMNNJ G1	CC1=CC2=NNN=C2C=C1
T56 BN DSJ CZ	C1=CC=C2C(=C1)N=C(S2)N
