Z1YQ1	CC(CN)O
Q8	CCCCCCCCO
QVVQ	C(=O)(C(=O)O)O
QVV1R DQ	C1=CC(=CC=C1CC(=O)C(=O)O)O
WNR DQ	C1=CC(=CC=C1[N+](=O)[O-])O
QV15	CCCCCCCCCCCCCCCC(=O)O
WNR DOPS&O2&O2	CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-]
QR BG CG DG EG FG	C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O
QVYZ1R -L	C1=CC=C(C=C1)CC(C(=O)O)N
L B666J	C1=CC=C2C(=C1)C=CC3=CC=CC=C32
QR	C1=CC=C(C=C1)O
Z1YQR	C1=CC=C(C=C1)C(CN)O
Z2R	C1=CC=C(C=C1)CCN
Z2OPQQO	C(COP(=O)(O)O)N
QVR BVQ	C1=CC=C(C(=C1)C(=O)O)C(=O)O
QY1&1Q	CC(CO)O
Q3	CCCO
T56 BM DN FN HNJ	C1=C2C(=NC=N1)N=CN2
T6N DNJ BVZ	C1=CN=C(C=N1)C(=O)N
T5MNJ	C1=CNN=C1
T6NJ	C1=CC=NC=C1
T6NJ B1 CQ D1Q E1Q &GH	CC1=NC=C(C(=C1O)CO)CO.Cl
QR BQ CQ	C1=CC(=C(C(=C1)O)O)O
T66 BNJ HO1 EYQ-DT66 A B CNTJ A1U1	COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O
T C666 BN DNVMV INJ B1YQYQYQ1Q L1 M1	CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O
L6UTJ AVQ CQ DQ EQ	C1C(C(C(C=C1C(=O)O)O)O)O
Z3M4M3Z	C(CCNCCCN)CNCCCN
QV2VQ	C(CC(=O)O)C(=O)O
T6OTJ CQ DQ EQ F1Q BO- BT5OTJ B1Q CQ DQ E1Q -GLU,FRUC	C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
Z2SWQ	C(CS(=O)(=O)O)N
T5STJ AO	C1CCS(=O)C1
SH1VQ	C(C(=O)O)S
T6N CNJ BQ DQ E1	CC1=CNC(=O)NC1=O
1R	CC1=CC=CC=C1
T56 BMJ D1YZVQ -L	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
ZVZ	C(=O)(N)N
QVYZY1&1	CC(C)C(C(=O)O)N
QVYZY1&1 -D	CC(C)C(C(=O)O)N
QVYZY1&1 -L	CC(C)C(C(=O)O)N
VHR DQ CO1	COC1=C(C=CC(=C1)C=O)O
QYR&VQ	C1=CC=C(C=C1)C(C(=O)O)O
Z10Z	C(CCCCCN)CCCCN
T B666 CN NNJ	C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1
T5N CNJ A1	CN1C=CN=C1
T6NJ B- BT6NJ	C1=CC=NC(=C1)C2=CC=CC=N2
QV1OR BG DG EG	C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O
QR BE DE FE	C1=C(C=C(C(=C1Br)O)Br)Br
QV1OR BG DG	C1=CC(=C(C=C1Cl)Cl)OCC(=O)O
QV3OR BG DG	C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)O
WNR BQ ENW	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O
Q1XZ1 & 1Q	CC(CO)(CO)N
T6NJ BZ D1	CC1=CC(=NC=C1)N
T5N CSJ BZ DSWR DNW	C1=CC(=CC=C1[N+](=O)[O-])S(=O)(=O)C2=CN=C(S2)N
L B656 HHJ EZ	C1C2=CC=CC=C2C3=C1C=C(C=C3)N
SH2Q	C(CS)O
T6NYJ AQ BUS	C1=CC(=S)N(C=C1)O
Z3N4 & 4	CCCCN(CCCC)CCCN
T5MN DNJ CZ	C1=NNC(=N1)N
Z2CN	C(CN)C#N
F1YQ1Q	C(C(CF)O)O
Q1YQ1F	C(C(CF)O)O
Z3O1	COCCCN
L E6 D6656 1A T&&&T&J R1	CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1
WNR CBQQ	B(C1=CC(=CC=C1)[N+](=O)[O-])(O)O
WN2VQ	C(C[N+](=O)[O-])C(=O)O
T6NJ DZ	C1=CN=CC=C1N
QVR D-HG-G	C1=CC(=CC=C1C(=O)O)[Hg]Cl
QR CQ DG	C1=CC(=C(C=C1O)O)Cl
QR DG C	CC1=C(C=CC(=C1)O)Cl
T5MVMV EHJ ER& ER	C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
T6NVN ENJ DZ A- BT5OTJ CQ DQ E1Q	C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N
T6NVMVJ EF A-ET5OTJ B1Q CQ DQ	C1=C(C(=O)NC(=O)N1C2C(C(C(O2)CO)O)O)F
T56 BMJ D2N1&1 GO1	CN(C)CCC1=CNC2=C1C=C(C=C2)OC
T56 BMJ D2Z GO1	COC1=CC2=C(C=C1)NC=C2CCN
T56 BN DN FNVNVJ B2G F1 H1	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCl
T56 BN DN FNVNVJ B2Q F1 H1	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCO
T66 BNJ JQ	C1=CC2=C(C(=C1)O)N=CC=C2
QR DMV1	CC(=O)NC1=CC=C(C=C1)O
