1VMR BI DI FI CVQ EVM1	CC(=O)Nc1c(c(c(c(c1I)C(=O)O)I)C(=O)NC)I
T56 BM DN FN HNJ IM1- BT5OJ	c1cc(oc1)CNc2c3c(nc[nH]3)ncn2
T56 BM DN GN INJ FM1- BT5OJ	c1cc(oc1)CNc2c3c(nc[nH]3)ncn2
SH2MYZUM	C(CS)N=C(N)N
ZR CQ DVQ	c1cc(c(cc1N)C(=O)O)O
1SY1&UNOVM1	CC(=NOC(=O)NC)SC
2R C1 BNV1GY1&1O1	CCc1cccc(c1N(C(C)COC)C(=O)CCl)C
ZSWR DVM1R BF	c1ccc(c(c1)CNC(=O)c2ccc(cc2)S(=O)(=O)N)F
T66 BV EN GNJ CVQ E2 H1	CCn1cc(c(=O)c2c1nc(cc2)C)C(=O)O
T67 GNV JN IHJ CNW G1 KR	CN1c2ccc(cc2C(=NCC1=O)c3ccccc3)[N+](=O)[O-]
T666 1A M BN EV KO&&TJ DVQ HF M1 I- AT6N DNTJ D1	CC1COc2c3n1cc(c(=O)c3cc(c2N4CCN(CC4)C)F)C(=O)O
OS2&2SPO&O1&O1	CCS(=O)CCSP(=O)(OC)OC
ZR CQ DVQ	c1cc(c(cc1N)O)C(=O)O
T66 BN DN INJ EMR CE& HM1	CNc1cc2c(cn1)ncnc2Nc3cccc(c3)Br
QR CQ EQ BV2R DQ	c1cc(ccc1CCC(=O)c2c(cc(cc2O)O)O)O
T6N CNJ B1 DO1 FG ENU- BT5MYMTJ	Cc1nc(c(c(n1)Cl)NC2=NCCN2)OC
T6N CNJ B1 DO1 FG EM- BT5M CN BUTJ	Cc1nc(c(c(n1)Cl)NC2=NCCN2)OC
T6NTJ A- DT6NTJ A3VR DF& DVZ	c1cc(ccc1C(=O)CCCN2CCC(CC2)(C(=O)N)N3CCCCC3)F
T66 BN DNJ EZ HO1 IO1 C- AT6N DNTJ DV- BT5OJ	COc1cc2c(cc1OC)nc(nc2N)N3CCN(CC3)C(=O)c4ccco4
T6N CN ENJ BMY1&1 DMY1&1 FG	CC(C)/N=c\1/[nH]/c(=N/C(C)C)/nc([nH]1)Cl
T6N CNJ BZ DZ ER DG& F2	CCc1c(c([nH]c(=N)n1)N)c2ccc(cc2)Cl
T5MVTJ DR DO1 CO- AL6TJ	COc1ccc(cc1OC2CCCC2)C3CC(=O)NC3
T56 BSWMVJ	c1ccc2c(c1)C(=O)NS2(=O)=O
T6NJ C1XQPQQO&PQQO	c1cc(cnc1)CC(O)(P(=O)(O)O)P(=O)(O)O
T6N CNJ BO1 DO1 FMSWR DZ	COc1cc(nc(n1)OC)NS(=O)(=O)c2ccc(cc2)N
ZSWR DZ	c1cc(ccc1N)S(=O)(=O)N
T6NJ BMSWR DZ	c1ccnc(c1)NS(=O)(=O)c2ccc(cc2)N
T5NOJ CMSWR DZ& D1 E1	Cc1c(noc1NS(=O)(=O)c2ccc(cc2)N)C
SCN4SO&1	CS(=O)CCCCN=C=S
T5NN DSJ CX1&1&1 EN1&VM1	CC(C)(C)c1nnc(s1)N(C)C(=O)NC
T66 BN DNJ EZ HO1 IO1 C- AT6N DNTJ DV- BT5OTJ	COc1cc2c(cc1OC)nc(nc2N)N3CCN(CC3)C(=O)C4CCCO4
2K2&2&2 &&ion	CC[N+](CC)(CC)CC
T3NTJ APS&- AT3NTJ&- AT3NTJ	C1CN1P(=S)(N2CC2)N3CC3
1N1&YUS&SSYUS&N1&1	CN(C)C(=S)SSC(=S)N(C)C
L B656 HVJ  EO2N2&2 KO2N2&2	CCN(CC)CCOc1ccc-2c(c1)C(=O)c3c2ccc(c3)OCCN(CC)CC
FXFFR CNW ENW DN3&3	CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
T5SJ BV1VXFFF	c1cc(sc1)C(=O)CC(=O)C(F)(F)F
Z2R DQ	c1cc(ccc1CCN)O
FXFFR CMR BVO4	CCCCOC(=O)c1ccccc1Nc2cccc(c2)C(F)(F)F
ZVO2	CCOC(=O)N
