QV1U2U2	CHEMBL250212
G1VM4	CHEMBL3334598
3MV1U2U2	CHEMBL249593
6OV1U2U2	CHEMBL250416
5OV1U2U2	CHEMBL250413
2U2U1VM1	CHEMBL250419
2U2U1VO1	CHEMBL250421
QV8UU2UU2UU5	CHEMBL251279
Z4MV8U9	CHEMBL3335327
WNO2E	CHEMBL251410
Z4MV15	CHEMBL3335326
QV1Q	CHEMBL252557
Z3MV8U9	CHEMBL3335323
Z4MV11	CHEMBL3335324
Z2MV13	CHEMBL3335317
Z2MV15	CHEMBL3335318
Z2MV8U9	CHEMBL3335319
Z3MV11	CHEMBL3335320
Z3MV13	CHEMBL3335321
Z3MV15	CHEMBL3335322
F &-NA-	CHEMBL1528
SH2Q	CHEMBL254951
QVM5VO11 &Z4VO11	CHEMBL255434
QVM5VO8 &Z4VO8	CHEMBL255432
QVM5VO9 &Z4VO9	CHEMBL255433
QV7V1U8	CHEMBL256146
VH1U3	CHEMBL256368
Z2SSW1	CHEMBL256738
31H	CHEMBL257490
QV7U3V6	CHEMBL258443
QVV1S1VQ	CHEMBL259106
NCM1U1	CHEMBL259526
Z3M2M3Z	CHEMBL259148
Z3M8M3M2	CHEMBL263216
2M4M4M4M2U2M4M4M4M2	CHEMBL264287
ZV1V9	CHEMBL266724
ZVMQ	CHEMBL467
QV8U3U6	CHEMBL267476
10MV3	CHEMBL265439
ZVH	CHEMBL266160
VHM1Q	CHEMBL268447
QV4	CHEMBL268736
Z2SSW1 &EH	CHEMBL271256
6U3U3U3U4VM2U1	CHEMBL274016
G2MSW1G	CHEMBL276113
1M3M4M3M1	CHEMBL274477
G2OSW1E	CHEMBL275363
G2OSW1	CHEMBL275438
Q7	CHEMBL273459
VH2	CHEMBL275626
Q3MV4U3U3U3U6	CHEMBL277297
2M4M4M2U2M2U2M2 &GH &GH &GH &GH &GH	CHEMBL1237392
2M2U2M2U2M2U2M2U2M2 &GH &GH &GH &GH &GH	CHEMBL1237391
Q2S1	CHEMBL277871
2M4M4M2U2M4M2 &GH &GH &GH &GH &GH	CHEMBL1237390
6U3U3U2U1S3VO1	CHEMBL275185
G2OSW1U1	CHEMBL274930
QMV8U9	CHEMBL276537
ZV1I	CHEMBL276727
WN1	CHEMBL276924
QMV4U3U3U3U6	CHEMBL277123
QSW3SWQ	CHEMBL2111092
9U8VM4	CHEMBL277050
QMV7U3U3U6	CHEMBL277539
E1V9	CHEMBL280758
Q17	CHEMBL278989
G2OSW2	CHEMBL280268
2M4M2U2M4M2U2M2 &GH &GH &GH &GH &GH	CHEMBL1237393
ZO3Z	CHEMBL281021
G2OSW1G	CHEMBL280041
VH5	CHEMBL280331
Q2MV8U9	CHEMBL280065
Q2SW1	CHEMBL281616
2M2U2M4M2U2M2U2M2 &GH &GH &GH &GH &GH	CHEMBL1237394
Z3M8M3Z &Z4Z	CHEMBL283410
2M4M2U2M2U2M2U2M2 &GH &GH &GH &GH &GH	CHEMBL1237395
Z4VQ	CHEMBL284116
3M3M8M3M3	CHEMBL284417
F2MV15	CHEMBL284717
4OV1	CHEMBL284391
Q2O4	CHEMBL284588
2M4M2U2M2U2M4M2 &GH &GH &GH &GH &GH	CHEMBL1237396
Z3M4M3	CHEMBL284260
15VM1VO1	CHEMBL286321
QV1MV1	CHEMBL289004
G1V9	CHEMBL286773
G2OSW1SW1	CHEMBL290487
NCMV15	CHEMBL291341
Z4M2UU1	CHEMBL292770
1U1U2M4M1	CHEMBL293698
Z1VM1VQ	CHEMBL292467
4U1	CHEMBL295337
SH4VQ	CHEMBL294565
NCMV3	CHEMBL294629
6U3U3U3U5OVM2	CHEMBL294826
VHO1	CHEMBL295026
2M4M4M4M2U2M2 &GH &GH &GH &GH &GH	CHEMBL1237414
QV1M2M1VQ	CHEMBL296340
2M2U2M4M4M2U2M2 &GH &GH &GH &GH &GH	CHEMBL1237413
G2OV1	CHEMBL296237
Z2VQ	CHEMBL297569
5M1	CHEMBL298481
VHM3	CHEMBL297216
G2M2G	CHEMBL913
Z1VM2SV1 &EH	CHEMBL302738
Z6Z	CHEMBL303004
Q3V4U3U3U3U6	CHEMBL301998
Z2M2Z	CHEMBL303429
ZV4U3U3U3U3U3U2	CHEMBL304463
QV1M1	CHEMBL304383
ZSW1	CHEMBL305268
QV2VM1VQ	CHEMBL306117
Z2VM2SS2MV2Z &EH &EH	CHEMBL308230
Z1VM2SS2MV1Z &EH &EH	CHEMBL307694
1M1V1M8M1V1M1	CHEMBL309246
ZSW6	CHEMBL1076883
QV10U2U7	CHEMBL313436
ZVM3VQ	CHEMBL310895
1SWO1	CHEMBL313493
SH2MV1VQ	CHEMBL315038
ZV10U9	CHEMBL316405
ZV8U5	CHEMBL316423
QVVM1VMSW1	CHEMBL314175
Z1VM1VM2SV1	CHEMBL319134
Z6M6Z	CHEMBL318516
QV6	CHEMBL320358
Q2MSW5U3U3U3U6	CHEMBL320106
Q2MV6U3U3U3U6	CHEMBL321585
QMV6VMQ	CHEMBL320497
8SW1VO1	CHEMBL322819
QV7	CHEMBL324846
WN2Q	CHEMBL324774
ZV1SW9	CHEMBL324544
Z14 &GH	CHEMBL325871
ZV1SW1U8	CHEMBL326244
GV2S1	CHEMBL326737
ZV3U3U3U3U3U3U3	CHEMBL328921
16MVV2	CHEMBL332404
QMVM4	CHEMBL331265
Z18 &GH	CHEMBL331817
ZV1SS1VZ	CHEMBL332509
Z3M4M3MV2Z	CHEMBL331757
Q3S1	CHEMBL332887
Z5Q	CHEMBL333552
15VO1	CHEMBL335125
VH2S1	CHEMBL333298
Z3M4M3MV5VM3M4M3Z	CHEMBL336937
Q4UU2UU3U8	CHEMBL337824
QV7U3O9MV1	CHEMBL338394
2M4M2U2M4M2	CHEMBL339850
1VM5VM1	CHEMBL337259
9H	CHEMBL335900
I	CHEMBL3343679
ZVMO1	CHEMBL339711
Z3M4M3MV10VM3M4M3Z	CHEMBL339792
QV2SS2VQ	CHEMBL338743
2OSW1	CHEMBL338686
ZV1MV1MV1Z	CHEMBL340564
Z2OSWQ	CHEMBL341858
5M1VO2	CHEMBL344189
ZV1U1	CHEMBL348107
QV1U10O1	CHEMBL349054
G5	CHEMBL348039
ZO1VQ	CHEMBL347862
2MM2	CHEMBL350303
ZSWO3G	CHEMBL345493
G4E	CHEMBL350215
ZSWO3	CHEMBL348471
6U3U3U3U4VM5	CHEMBL347615
Q9U3UU2UU2U2Q	CHEMBL1077009
ZSWO3U1	CHEMBL346884
ZV1G	CHEMBL346368
1U1SW1U1	CHEMBL349205
G1E	CHEMBL346918
QV3Q	CHEMBL1342
1SW1SWO1	CHEMBL352170
ZV8	CHEMBL353209
ZSWZ	CHEMBL355001
Q2U2UU2UU2U2U3V3	CHEMBL1077019
ZSWO4OSWZ	CHEMBL353258
6U3U3U3U4VM2UU1	CHEMBL359165
Q2U2UU2UU2U2U5	CHEMBL1092809
ZSWO5	CHEMBL358643
3VO1OV3	CHEMBL360059
SH1VM6MV1SH	CHEMBL360777
SH2VQ	CHEMBL358697
ZSWO11	CHEMBL356681
4MVO2OVM4	CHEMBL366931
Z3M4M3M3MV8	CHEMBL365731
16VM3M3M4M3M3MV16	CHEMBL363429
ZSWO12OSWZ	CHEMBL361421
1U2SS2U1	CHEMBL366603
1U2M3M2U1	CHEMBL368925
Z3M2Q	CHEMBL361813
1VV1	CHEMBL365809
4MVO16OVM4	CHEMBL362685
QV3U3U3U3U3U3U3	CHEMBL367149
Z3M4M3M3MV14	CHEMBL365961
4VV1	CHEMBL364588
Z6MVO1	CHEMBL368970
Q2OVM4	CHEMBL369772
Z11VQ	CHEMBL371701
2OV2VO2	CHEMBL369243
1VM2SSW5SWS2MV1	CHEMBL368602
WNQ	CHEMBL1352
Z2O2O1VQ	CHEMBL370260
13VM3	CHEMBL377933
Z2M3M2MSW12	CHEMBL374062
16SWM3M3M4M3M3MSW16	CHEMBL375184
QV1I	CHEMBL376280
VH4U3U3U3U6	CHEMBL373333
Z3M4M3MSW4	CHEMBL373711
Z1VM1VM1VM1VQ	CHEMBL378905
Z3M4M3M3MSW16	CHEMBL375009
Z3M3M3MSW8	CHEMBL375322
ZSWM8U10	CHEMBL374948
13VO7	CHEMBL379833
10MV5OVO8	CHEMBL382032
Q2OMV4U3U3U3U6	CHEMBL382444
QV5UU11	CHEMBL1275976
Z3M4M3MSW16	CHEMBL384590
6U3U3U3U4MV2	CHEMBL380923
Q2MOV8U9	CHEMBL380925
2M16M2U2M16M2	CHEMBL3347629
12OV5MVO2	CHEMBL380072
QV10U8	CHEMBL3347676
ZMV13	CHEMBL380896
12OV6OVO5VO12	CHEMBL380642
Z5VO12 &QVM5VO12	CHEMBL380471
9U3U2U1S2VO1	CHEMBL3349371
Z8MV2Z	CHEMBL390140
QV1MV17	CHEMBL390936
16MSWM3	CHEMBL387094
8SWM3M3M4M3M3MSW8	CHEMBL386494
QV3M1	CHEMBL2074955
9VM2SS2MV9	CHEMBL401740
4SWM4MSW4	CHEMBL396306
2U2U1VO2	CHEMBL398921
2U2U1VM2	CHEMBL398291
4OV1U2U2	CHEMBL400301
WNO2SWQ	CHEMBL399550
WNO2VQ	CHEMBL401152
WNO2VO1	CHEMBL399905
Q2MV1U2U2	CHEMBL399988
QVM5VO10 &Z4VO10	CHEMBL404543
WNM1	CHEMBL405641
15VO2U1	CHEMBL415727
E1V1VO5U9	CHEMBL414450
3SWM2MSW3	CHEMBL413981
QSWO18	CHEMBL405591
1U1U2M4M2U1U1	CHEMBL417844
2M4M2U2M2U2M2 &GH &GH &GH &GH	CHEMBL1203306
2M4M2U2M4M2 &GH &GH &GH &GH	CHEMBL1203307
QMV4U3U3U3U6	CHEMBL419436
ZSWO2G	CHEMBL417469
ZV7U12	CHEMBL418943
2M4M4M2U2M2 &GH &GH &GH &GH	CHEMBL1203309
2M4M2U2M4M2 &GH &GH &GH &GH	CHEMBL1203310
2M4M2UU2M4M2 &GH &GH &GH &GH	CHEMBL1203311
QV4U3U3U2U1V5	CHEMBL418941
Q2MV15	CHEMBL417675
NCMV17	CHEMBL417933
ZSW1SW8	CHEMBL421106
11VOV11	CHEMBL420797
1U1U2M3M8M3M2U1U1 &GH &GH &GH &GH	CHEMBL1202500
Z12MSW16	CHEMBL425812
Q4UU2UU2U2U2U1V3	CHEMBL421759
4MVO8OVM4	CHEMBL425165
ZV4U3U3U3U6	CHEMBL421883
9U3U2U1S3VO1	CHEMBL422751
2MM2 &GH &GH	CHEMBL1203769
Z3SW3Z &GH &GH	CHEMBL1202492
Z2VM2SV1 &EH	CHEMBL421294
ZV8U3U3U3	CHEMBL423865
1MM1 &GH &GH	CHEMBL1203772
2M2U2M4M4M2U2M2	CHEMBL423894
Q2VM15	CHEMBL423904
16V1U1V1VO1	CHEMBL425779
29H	CHEMBL428955
Z8M3Z &GH	CHEMBL1202497
3VO1OV2VO1OV3	CHEMBL426598
ZSWO7	CHEMBL430306
1M8M1 &GH &GH	CHEMBL1202495
QV1U1VV11	CHEMBL430092
6U3U3U3U4VM3	CHEMBL429055
QM4U3U3U2U7	CHEMBL433690
Z4M3MV1S2MV2MV1 &GH	CHEMBL3356837
Z4MV1O1 &GH	CHEMBL3356842
Z4M3MV1O1 &GH	CHEMBL3356844
Z3M4M3MV1S2MV1 &GH	CHEMBL3356852
ZV1S10	CHEMBL431863
1U1VM1	CHEMBL3352942
1MV1UU1	CHEMBL3352948
Z3VO9U3U3U3	CHEMBL434861
Z6MSW1	CHEMBL436093
SH3U2VQ	CHEMBL432564
QV2MV10MV12S12	CHEMBL1205558
6U3U8VM2I	CHEMBL443882
Q2S2Q	CHEMBL444480
2M4M4M2U2M2	CHEMBL441478
Z1V1M7M1V1Z	CHEMBL441630
Q11	CHEMBL444525
Q6V3U6	CHEMBL443861
VH1U2U6	CHEMBL443949
QV10MV8S12	CHEMBL1205568
QV1MV10MV14S12	CHEMBL1205569
7OV1U2U2	CHEMBL440234
Q2O1	CHEMBL444144
QOV1	CHEMBL444965
VH1V9	CHEMBL443876
QV1O2UU2UU8	CHEMBL445209
QV1MV10MV6S12	CHEMBL1205572
G2OV1U1	CHEMBL450171
QV10MV22S12	CHEMBL1205597
Q2UU2UU7U1	CHEMBL443245
QV2MV10MV4S12	CHEMBL1205571
ZSWM2SS2MSWZ	CHEMBL444608
6U3U8VM2I	CHEMBL448660
QV5UU2UU2U5	CHEMBL448670
Q5UU8VO1	CHEMBL445796
WN2VQ	CHEMBL451226
QV1U2U1VO1	CHEMBL447992
QV4UU2UU2U4U2UU2U1E	CHEMBL450380
QV8UU2UU2UU4U1	CHEMBL451921
QSWOSWQ	CHEMBL1205545
QV2MV10MV6S12	CHEMBL1205585
QV5UU2UU2UU5	CHEMBL447088
12UU5VO1	CHEMBL454842
Q3Q	CHEMBL379652
VH1U7	CHEMBL450072
Q2V11	CHEMBL453487
QV5UU12	CHEMBL454321
QV5UU13	CHEMBL454322
NC1U1	CHEMBL445612
QV4UU2UU2U8U1E	CHEMBL449762
VH1U6	CHEMBL448058
Q5Q	CHEMBL448289
Q20	CHEMBL451717
VH1U5	CHEMBL454759
13UU5VO1	CHEMBL452765
VH1VH	CHEMBL446036
Q2UU2UU8	CHEMBL451481
QV10MV12S12	CHEMBL1205590
QV6UU2UU3U6	CHEMBL453726
Z1V2VO1OV3 &GH	CHEMBL452926
WNO6O1	CHEMBL458087
Q2Q	CHEMBL457299
E2E	CHEMBL452370
QV2V1M6	CHEMBL447969
QV8U7	CHEMBL453509
QVV3VVQ	CHEMBL451265
Q2MV1Q	CHEMBL450812
VH1U2U2U2U2U2U1VH	CHEMBL451517
Q2MV5U3U3U6	CHEMBL455997
Q2O5U3U3U3U6	CHEMBL450007
QV1S3U3U3U3U3	CHEMBL447250
G2U1	CHEMBL451126
Q2VM8U9	CHEMBL447931
Q6Q	CHEMBL458616
QV1U1V1U1VQ	CHEMBL456159
7U1V6VO2	CHEMBL450378
Q2O2UU2UU7U1	CHEMBL452668
8UU2UU2U1V1	CHEMBL448372
QV1O2U4U3U3U3U3	CHEMBL458707
Q2MVV14	CHEMBL455258
ZV5U3U3U6	CHEMBL456612
QSWO4U3U3	CHEMBL460438
9U8VVO2	CHEMBL457814
8U1V1	CHEMBL1077271
ZV7U3U3U6	CHEMBL456613
QSWO4U3U3	CHEMBL460230
QSWO3U3U3U1	CHEMBL460439
QV4UU3UU3UU3UU6	CHEMBL458328
Q2O2O2O1	CHEMBL1794613
Q2MV8U3U3U3	CHEMBL458095
QV7U1VQ	CHEMBL460237
8UU2UU2U1V1	CHEMBL455313
QV3MV4U3U3U3U6	CHEMBL456340
QV5UU3U3U3U3	CHEMBL458467
QV7U2Q	CHEMBL458520
6U3U3U3U4VM2I	CHEMBL461439
2OV1U1V1U1VO2	CHEMBL456197
14U1V1	CHEMBL1077289
QV8U5	CHEMBL456732
QV14	CHEMBL460025
QV4U3U3U3U3U3	CHEMBL460026
QV3S3U3U3U3U3	CHEMBL460444
QV1O3U3U3U3U3	CHEMBL460445
WNO3M2 &WNQ	CHEMBL457762
Q4UU5VO1	CHEMBL459040
G2S2G	CHEMBL455341
QV2V1U1VQ	CHEMBL458071
Q2UU2UU9U1	CHEMBL463465
Q2U3U3U6	CHEMBL460757
QV7U3U3U6	CHEMBL465183
1OV2MSWM2VO1	CHEMBL461137
QV4U4U18	CHEMBL463437
14VVM3V4	CHEMBL461317
Z1VM1VMQ	CHEMBL462481
14VVM1VO2	CHEMBL462542
ZVO2	CHEMBL462547
14VVM4O2	CHEMBL461318
QV5U3U3U6	CHEMBL464982
QV10U3U6	CHEMBL464983
Q2UU2U5UU2UU2U6U2UU1	CHEMBL464753
QV1M1VQ	CHEMBL461164
QV1O2U4U3U3U3	CHEMBL460654
9U1V6VO2	CHEMBL465239
QV7V1U2U6	CHEMBL465240
QV4U4U7	CHEMBL464637
QV1O2U4U3U3U3U3	CHEMBL460655
QV7UU2UU2UU6	CHEMBL464527
QV8U9	CHEMBL460657
QVV1VQ	CHEMBL1794791
QV25	CHEMBL464787
Q2UU5UU5UU6U2UU1	CHEMBL468044
Q2UU2U5UU2UU8U2UU1	CHEMBL468045
QV8U1U2UU2UU4	CHEMBL2028081
9U8VO1	CHEMBL465725
QV6V1U9	CHEMBL465675
G7	CHEMBL1797136
7V1U2UU2UU1V1U1	CHEMBL465850
G2U2G	CHEMBL468582
Q2E	CHEMBL468583
Q3E	CHEMBL466545
8UU2UU2O1VO1	CHEMBL465630
1U9UU2UU2O1VO1	CHEMBL465631
QV9U1VQ	CHEMBL470062
QV7U1U2UU2UU4	CHEMBL2028079
Z1V2VQ	CHEMBL3350389
QVV2VQ	CHEMBL1686
Q22Q	CHEMBL470773
QV5U3U3U3U1	CHEMBL475064
Q2MV4U3U3U3U6	CHEMBL478670
1OV2V1VO1	CHEMBL478572
QV4UU2UU2U6U2UU1E	CHEMBL478973
ZV5U16	CHEMBL477742
11V1	CHEMBL480097
QV5V1U2U1V6	CHEMBL478594
QV13UU2U1VQ	CHEMBL476878
Q14VO1	CHEMBL477886
E1U8U2UU2UU4VO1	CHEMBL478974
Q16VO1	CHEMBL477885
QV4UU2U6U2UU2U1E	CHEMBL476873
QV4UU2UU2U6UU2U1E	CHEMBL476874
QV10UU2U5	CHEMBL479141
QV6UU2U6UU2U1E	CHEMBL481648
QV6U2UU9	CHEMBL482601
1VM1VM1V2VO1	CHEMBL483276
QV6U2UU9	CHEMBL482803
QV8UU9	CHEMBL482804
QV4UU4UU7	CHEMBL487382
QV5U3U3U3U3	CHEMBL484430
Z1V2VQ	CHEMBL3350765
14VVM2VO1	CHEMBL488243
14VVM2VO2	CHEMBL488244
15OV11	CHEMBL485819
G1V8U9	CHEMBL486979
VH8U9	CHEMBL486980
QV6UU2UU9	CHEMBL485858
12VM1U4VM1VO1	CHEMBL486155
Z3ONW &WNQ	CHEMBL486635
1V1U2UU2UU9U1	CHEMBL488409
1V1U2UU2UU9U1	CHEMBL488410
14VVM4VO2	CHEMBL488438
QV4U2UU2UU9	CHEMBL489540
14VVM4VO1	CHEMBL487239
QMV7VMQ	CHEMBL495390
Q5UU10VO1	CHEMBL495385
QV6UU4Q	CHEMBL495386
QV6UU5Q	CHEMBL495387
6U3U4V1	CHEMBL500066
QV6UU2UU5	CHEMBL501307
Q2O2O2O2O2O2O2O2O2O2O12	CHEMBL502418
QV1U2Q	CHEMBL507046
Q2SSVO10	CHEMBL503857
VH1G	CHEMBL506976
Q3UU4VO1	CHEMBL508127
E2VM1MV1U1	CHEMBL505254
Q2O2O2O2O12	CHEMBL500128
3U3U3U4V1	CHEMBL502229
VH1U8	CHEMBL507518
QV4U2UU2UU9	CHEMBL504781
WNO3O1	CHEMBL509035
Q2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O12	CHEMBL501042
QV1U1VQ	CHEMBL503160
QV1F	CHEMBL509273
ZVV8U9	CHEMBL506602
ZMV1U1VMZ	CHEMBL500580
Q2O2O2O2O2O2O2O2O12	CHEMBL501722
1S1U1VM1	CHEMBL505585
QV4UU2U2UU2U3	CHEMBL498234
QV6U3U3U3U3U3	CHEMBL496634
FSW8	CHEMBL499569
ZV6U3U3U3U6	CHEMBL513083
ZV8U3U3U3	CHEMBL510144
QV3S3U3U3U3U3	CHEMBL510672
QV2Q	CHEMBL1205969
QSW4Q	CHEMBL1205974
QV6UU2UU2U5	CHEMBL510276
QV4Q	CHEMBL1205948
ZM1 &GH &GH	CHEMBL1204369
QSWO10UU1	CHEMBL1206046
1M3M3M1 &GH	CHEMBL1204171
1M3M8M3M1 &GH &GH &GH &GH	CHEMBL1204179
Z3M3O3M3Z &GH &GH &GH &GH	CHEMBL1204177
QV10MV40S12	CHEMBL1206998
3M3M8M3M3 &GH &GH &GH &GH	CHEMBL1204175
14VVM3VO2U1	CHEMBL520227
2M3M8M3M2 &GH &GH &GH &GH	CHEMBL1204176
QSWO6	CHEMBL1207929
QSWO14	CHEMBL1208306
QSWF	CHEMBL1207889
QSW6	CHEMBL1208318
QV1O2UU2UU7U1	CHEMBL1207956
QSWOOSWQ	CHEMBL1208163
QSW10	CHEMBL1208302
QSW8	CHEMBL1208308
QSW16	CHEMBL1208309
QSWO10	CHEMBL1208321
QSWO13	CHEMBL1208311
QSW14	CHEMBL1208312
QV1U2U2U2	CHEMBL1208330
QSW12	CHEMBL1208337
QSWO8	CHEMBL1208322
2M4M4M4M4M4M4M4M2 &GH	CHEMBL536068
2M2U2M2U2M2U2M2 &GH	CHEMBL536291
Z3M8M3Z &GH &GH &GH &GH	CHEMBL538800
2M2U2M4M2U2M2 &GH	CHEMBL535620
2M4M4M4M4M4M2U2M4M4M4M4M4M2 &GH	CHEMBL536065
2M4M4M4M4M4M4M2U2M4M4M4M4M4M4M2 &GH	CHEMBL536066
1U2U1	CHEMBL537970
2M4M4M4M4M2U2M4M4M4M4M2 &GH	CHEMBL536502
QSW2MG	CHEMBL539204
2M4M4M2U2M4M2 &GH	CHEMBL538082
QV3S2U4U3U3U3	CHEMBL541729
ZQ &GH	CHEMBL542448
Z2SV1 &GH	CHEMBL540544
Z2G &GH	CHEMBL540550
SH2M1VQ &GH	CHEMBL543749
Z3VM4 &GH	CHEMBL543334
2M4M4M4M4M4M4M4M4M4M4M4M4M4M2 &GH	CHEMBL541380
2M4M4M4M4M4M4M4M4M4M2 &GH	CHEMBL541381
1M2UU1 &GH	CHEMBL543411
Z2M2S3 &GH &GH	CHEMBL545290
QV1U1VQ	CHEMBL539648
Z3M2S2 &GH &GH	CHEMBL544591
Z3M2S3 &GH &GH	CHEMBL545060
WNO5VQ	CHEMBL541439
ZV2VZ	CHEMBL541705
Z1VO1 &GH	CHEMBL544458
Z1VS2MV1 &EH	CHEMBL545455
Z3M2S1 &GH &GH	CHEMBL542945
Z2M2S1 &GH &GH	CHEMBL542947
Z1CN &GH	CHEMBL545492
Z2M2S4 &GH &GH	CHEMBL545530
WNO6VQ	CHEMBL539444
Z3SWMQ &EH	CHEMBL542848
ZZ &GH &GH	CHEMBL542171
2S2M3M3M3M2	CHEMBL556668
4M4M4M3M2	CHEMBL549324
QV7UU5MVM5	CHEMBL551161
2S2M3M3M3M2S2	CHEMBL552234
4MVM6U7VO1	CHEMBL555832
ZO3Z &GH	CHEMBL1209776
Z2M2S2 &GH &GH	CHEMBL555187
ZO2	CHEMBL1213044
QV3U5MVM5	CHEMBL551899
QV3UU5MVM5	CHEMBL551900
1OV2VO1	CHEMBL556489
Z3OM3Z &EH &EH &EH	CHEMBL553063
Z3M7M3Z &GH &GH &GH &GH	CHEMBL554767
QV4UU8MV6	CHEMBL550898
QV7U5VM6	CHEMBL561706
VH1U2U2U2	CHEMBL557962
2M4M4M4M4M2U2M4M4M4M4M2 &GH	CHEMBL556967
QV7U4MVM6	CHEMBL560029
QV7U5OVM5	CHEMBL558485
QV7U5MVVM4	CHEMBL559453
Z3VM1VQ	CHEMBL557092
2M4M4M4M2U2M4M4M4M2 &GH	CHEMBL558372
QV7U5MVM5	CHEMBL559573
QV2U1VQ	CHEMBL557347
QV7U5MV6	CHEMBL560420
2M4M4M4M4M4M4M4M4M4M4M4M2 &GH	CHEMBL556966
QV4U3U3U9	CHEMBL1865841
QMV4VMQ	CHEMBL565859
QMV3VMQ	CHEMBL566494
QMV2VMQ	CHEMBL566071
8MSW2M4	CHEMBL1864256
ZSWM9U3U6	CHEMBL570988
1M1 &GH	CHEMBL569461
NCS2O2O4	CHEMBL1867205
9U9MSWM3	CHEMBL571044
Z9Z	CHEMBL572025
ZSWM5U3U3U3U6	CHEMBL568489
WN1VQ	CHEMBL571463
QMVVMQ	CHEMBL566941
Z10Z	CHEMBL570383
QMV1VMQ	CHEMBL569435
Z11Z	CHEMBL570216
ZSWM9U9	CHEMBL570566
Q2OVM6MVO2Q	CHEMBL1866422
2MVM3M6M3MVM2	CHEMBL1852816
QV1MVMQ	CHEMBL573239
QV1MVVM2	CHEMBL572969
3MVM3M6M3MVM3	CHEMBL1852844
QSWQ	CHEMBL572964
QV1MV1V1	CHEMBL573193
QV1MV1VO2	CHEMBL573194
QVVM1VO1	CHEMBL573196
14VVM3V1O2	CHEMBL573332
QV2VVM2	CHEMBL573259
QV1VM1VQ	CHEMBL573153
Q1V3MVV14	CHEMBL574725
14VVM3VO2	CHEMBL574723
QV1MVVO2	CHEMBL572739
8M3S3M8	CHEMBL580390
7VV7	CHEMBL1812858
4VV4	CHEMBL1812855
6VV6	CHEMBL1812857
9U7VVO2	CHEMBL1812586
8OVM6MVO8	CHEMBL579302
6U3U3U3U5MSWM3	CHEMBL583108
9V1VM1VO2	CHEMBL1812114
ZVV7U9	CHEMBL1812585
8VV8	CHEMBL1812859
2VV2	CHEMBL1812853
3VV3	CHEMBL1812854
5VV5	CHEMBL1812856
QV10U5MVVM1	CHEMBL1802692
QV10U5MVVM1	CHEMBL1802693
QV1U1VO1	CHEMBL589586
ZO1	CHEMBL1213633
1SWMVM6VMSWO1	CHEMBL591318
QV10U5MV3	CHEMBL1803088
QV10U5VM3	CHEMBL1803089
QV10U4VM4	CHEMBL1803090
QV10UU5MVVM1	CHEMBL1803086
QV13U2MV3	CHEMBL1803091
QV13U2MVVM1	CHEMBL1803092
QV13U2MVM2	CHEMBL1803093
WNO3Q	CHEMBL1817841
WN3VO1	CHEMBL3358703
QSWO9U9	CHEMBL594396
WNO6M2 &WNQ	CHEMBL1770158
QV2O1	CHEMBL3358702
1M3M7M3M1	CHEMBL81822
Q2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O12	CHEMBL449312
QV4VO3U3U11	CHEMBL114431
Q30	CHEMBL1079147
Z2ONW	CHEMBL609980
QSWO7U9	CHEMBL611951
Q2M14	CHEMBL395447
1U4UU2UU2UU8VO1	CHEMBL1080661
VH1U2	CHEMBL1086445
Q2U2UU2UU3U8	CHEMBL1086904
Q2U2UU2UU3U6	CHEMBL1086905
Q2U3UU2UU2U2U7	CHEMBL1086773
E1V1	CHEMBL1085947
ZVO1	CHEMBL1085707
E1VO2	CHEMBL1085948
1VO9U3UU2U2U2OV1	CHEMBL1090064
9U1V1	CHEMBL1091090
10U1V1	CHEMBL1091091
11U1V1	CHEMBL1091092
12U1V1	CHEMBL1091093
QV6VMQ	CHEMBL1090658
Z2SS2MV3VM2SS2MV3VM2SS2Z	CHEMBL1851860
7U2U2UU2U2U2OV1	CHEMBL1092510
8U3UU2U2U2OV1	CHEMBL1092511
QV9U2U6	CHEMBL1093743
Z3VO14 &GH	CHEMBL1096839
Q9U3UU2U2U2Q	CHEMBL1092808
QV1U2	CHEMBL1213528
1OV1U1O2UU1	CHEMBL1097382
QH	CHEMBL1098659
Z2SS2MV2VM2SS2MV2VM2SS2Z	CHEMBL1851695
Z6VO11 &GH	CHEMBL1097116
Z7VO10 &GH	CHEMBL1097117
Z3VO14	CHEMBL1096670
Z7VO10	CHEMBL1095217
Z9VO8	CHEMBL1095218
Z2VO15 &GH	CHEMBL1095078
2OV1UU2O1U1VO1	CHEMBL1099054
NC17	CHEMBL1871991
Z11VO6	CHEMBL1097161
SH2SWQ	CHEMBL1098319
QV1U1	CHEMBL1213529
Z1V2VO1	CHEMBL1096562
Z6VO11	CHEMBL1098835
Q2O2O2O2O2O11	CHEMBL1213506
Z4VO13	CHEMBL1098833
Z5VO12	CHEMBL1098834
Z11VO6 &GH	CHEMBL1096190
Z2VO15	CHEMBL1096191
Z4VO13 &GH	CHEMBL1096840
ZO2O2O2OZ	CHEMBL1213255
QV1UU1	CHEMBL1213530
Z8	CHEMBL1160509
SUCM	CHEMBL1161685
QV1O2	CHEMBL1159929
QVV1	CHEMBL1162144
Z3VO4	CHEMBL1161408
3U3U3U8VO1	CHEMBL1172198
QCN	CHEMBL1161700
